
Date,Open,High,Low,Close,Volume
10/21/2019 9:30,1769.66,1769.66,1766.93,1769.28,41086
10/21/2019 9:31,1769.02,1769.50,1766.19,1767.60,9278
10/21/2019 9:32,1767.81,1769.53,1767.81,1768.87,4804
10/21/2019 9:33,1768.73,1770.99,1768.34,1770.59,10056
10/21/2019 9:34,1770.15,1770.15,1768.00,1768.00,3506
10/21/2019 9:35,1769.37,1773.28,1768.57,1772.82,10762
10/21/2019 9:36,1772.09,1777.36,1772.09,1777.36,10572
10/21/2019 9:37,1777.45,1777.72,1773.76,1775.47,23710
10/21/2019 9:38,1774.27,1775.75,1773.44,1773.44,4147
10/21/2019 9:39,1773.00,1774.39,1771.90,1773.49,6038
10/21/2019 9:40,1773.90,1774.40,1773.28,1773.78,4832
10/21/2019 9:41,1774.24,1774.24,1771.24,1772.75,4131
10/21/2019 9:42,1772.74,1773.45,1772.46,1772.49,2700
10/21/2019 9:43,1772.90,1773.48,1771.97,1773.48,2915
10/21/2019 9:44,1772.64,1773.05,1772.14,1772.67,6180
10/21/2019 9:45,1773.00,1773.05,1771.89,1772.25,4281
10/21/2019 9:46,1772.00,1772.01,1770.87,1771.89,6453
10/21/2019 9:47,1771.70,1772.30,1771.02,1771.02,4880
10/21/2019 9:48,1770.91,1770.91,1769.02,1770.00,5756
10/21/2019 9:49,1770.20,1770.76,1768.10,1768.60,8840
10/21/2019 9:50,1769.56,1772.75,1769.35,1772.75,7249
10/21/2019 9:51,1772.44,1773.05,1771.37,1773.05,4656
10/21/2019 9:52,1773.36,1773.59,1772.97,1773.50,6868
10/21/2019 9:53,1774.00,1775.07,1773.75,1774.62,5073
10/21/2019 9:54,1774.56,1774.56,1772.58,1772.58,5987
10/21/2019 9:55,1772.58,1773.17,1772.39,1772.42,2748
10/21/2019 9:56,1772.88,1772.88,1772.38,1772.60,2250
10/21/2019 9:57,1772.56,1772.56,1770.04,1770.57,3543
10/21/2019 9:58,1770.19,1770.20,1768.09,1770.20,8868
10/21/2019 9:59,1770.22,1770.97,1769.15,1769.46,5901
10/21/2019 10:00,1768.62,1770.50,1768.62,1769.42,2242
10/21/2019 10:01,1769.64,1770.79,1769.64,1770.41,3737
10/21/2019 10:02,1770.26,1770.67,1769.91,1770.34,4701
10/21/2019 10:03,1770.34,1770.34,1768.50,1768.64,4185
10/21/2019 10:04,1768.63,1769.56,1767.25,1767.90,5738
10/21/2019 10:05,1767.50,1768.08,1766.25,1766.25,4200
10/21/2019 10:06,1766.48,1766.48,1765.00,1766.08,5685
10/21/2019 10:07,1766.62,1767.84,1766.04,1767.20,7746
10/21/2019 10:08,1767.56,1768.18,1766.74,1766.74,8696
10/21/2019 10:09,1766.66,1767.50,1766.26,1766.26,2883
10/21/2019 10:10,1766.88,1766.88,1765.21,1766.04,8072
10/21/2019 10:11,1766.02,1767.55,1766.02,1767.41,2100
10/21/2019 10:12,1767.45,1769.15,1767.21,1769.14,8583
10/21/2019 10:13,1769.15,1769.15,1768.49,1769.09,2545
10/21/2019 10:14,1768.62,1768.88,1767.73,1768.02,3213
10/21/2019 10:15,1768.75,1768.75,1767.10,1767.11,1676
10/21/2019 10:16,1767.22,1768.49,1767.22,1768.21,1931
10/21/2019 10:17,1767.54,1768.50,1767.54,1768.50,500
10/21/2019 10:18,1768.72,1769.01,1768.40,1768.40,1485
10/21/2019 10:19,1768.55,1769.40,1768.27,1769.15,2022
10/21/2019 10:20,1769.36,1769.36,1768.21,1768.53,1556
10/21/2019 10:21,1768.29,1770.81,1768.29,1769.38,3992
10/21/2019 10:22,1769.86,1769.86,1768.49,1768.88,2186
10/21/2019 10:23,1768.96,1769.68,1768.76,1769.68,2604
10/21/2019 10:24,1770.21,1770.89,1770.08,1770.45,1895
10/21/2019 10:25,1770.12,1770.52,1769.87,1770.40,800
10/21/2019 10:26,1771.02,1771.83,1771.00,1771.51,2900
10/21/2019 10:27,1771.05,1771.51,1770.47,1771.27,2300
10/21/2019 10:28,1771.00,1771.26,1770.87,1770.87,650
10/21/2019 10:29,1770.43,1771.51,1770.43,1771.51,2373
10/21/2019 10:30,1771.40,1771.63,1770.75,1770.97,2578
10/21/2019 10:31,1771.03,1771.40,1770.53,1770.53,1200
10/21/2019 10:32,1770.39,1771.21,1770.39,1770.99,2050
10/21/2019 10:33,1770.55,1770.55,1770.08,1770.50,1853
10/21/2019 10:34,1770.35,1770.52,1770.00,1770.00,2684
10/21/2019 10:35,1770.20,1770.53,1769.75,1769.75,2150
10/21/2019 10:36,1769.96,1769.96,1768.65,1769.20,1110
10/21/2019 10:37,1769.61,1770.59,1769.61,1770.20,6495
10/21/2019 10:38,1770.21,1770.51,1769.91,1770.21,5000
10/21/2019 10:39,1770.00,1770.21,1769.81,1770.00,4065
10/21/2019 10:40,1769.89,1770.53,1769.78,1770.47,7430
10/21/2019 10:41,1770.24,1770.24,1769.09,1770.08,2132
10/21/2019 10:42,1770.03,1770.31,1769.62,1769.62,1321
10/21/2019 10:43,1769.63,1769.92,1769.63,1769.63,400
10/21/2019 10:44,1769.52,1769.70,1768.88,1769.33,3383
10/21/2019 10:45,1769.08,1769.50,1769.00,1769.35,2133
10/21/2019 10:46,1769.44,1769.53,1768.95,1769.22,1608
10/21/2019 10:47,1769.42,1769.56,1768.99,1768.99,1352
10/21/2019 10:48,1769.30,1769.49,1769.01,1769.38,1700
10/21/2019 10:49,1769.69,1769.69,1769.00,1769.43,2417
10/21/2019 10:50,1769.64,1769.65,1769.59,1769.62,1100
10/21/2019 10:51,1769.59,1770.00,1769.59,1770.00,1400
10/21/2019 10:52,1770.02,1770.59,1769.81,1769.81,1604
10/21/2019 10:53,1769.71,1770.12,1769.71,1770.00,300
10/21/2019 10:54,1769.58,1771.71,1769.58,1771.50,7314
10/21/2019 10:55,1771.82,1771.82,1771.56,1771.56,400
10/21/2019 10:56,1772.00,1772.81,1772.00,1772.63,2960
10/21/2019 10:57,1772.34,1772.66,1771.49,1772.00,4117
10/21/2019 10:58,1771.93,1771.93,1771.62,1771.62,300
10/21/2019 10:59,1771.10,1771.76,1771.10,1771.76,1653
10/21/2019 11:00,1772.01,1772.19,1771.84,1772.06,950
10/21/2019 11:01,1771.28,1771.61,1771.11,1771.61,500
10/21/2019 11:02,1771.98,1772.20,1771.72,1772.20,2200
10/21/2019 11:03,1772.68,1772.68,1772.07,1772.12,1933
10/21/2019 11:04,1771.66,1773.48,1771.66,1773.48,5626
10/21/2019 11:05,1773.56,1773.67,1772.56,1773.01,1778
10/21/2019 11:06,1773.61,1773.70,1773.55,1773.60,700
10/21/2019 11:07,1773.56,1773.97,1773.54,1773.64,1750
10/21/2019 11:08,1773.69,1773.69,1772.96,1772.96,835
10/21/2019 11:09,1772.94,1773.24,1772.81,1772.84,1648
10/21/2019 11:10,1772.56,1772.94,1772.43,1772.77,2103
10/21/2019 11:11,1772.71,1772.95,1772.04,1772.43,1822
10/21/2019 11:12,1772.54,1772.82,1772.01,1772.63,1997
10/21/2019 11:13,1772.84,1773.12,1772.65,1772.82,1228
10/21/2019 11:14,1772.61,1773.07,1772.61,1773.07,300
10/21/2019 11:15,1772.56,1773.13,1772.43,1773.13,2465
