Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-10T13:30:00Z,284.64,285.18,283.62,284.61,610687,788938.4,NaN,NaN,NaN,NaN
2020-03-10T13:35:00Z,284.62,284.8,282.75,283.11,676707,809268.55,NaN,NaN,NaN,NaN
2020-03-10T13:40:00Z,283.11,283.17,281.445,281.88,355776,800477.8,NaN,NaN,NaN,NaN
2020-03-10T13:45:00Z,281.915,282.28,280.93,281.68,325458,790545.8,NaN,NaN,NaN,NaN
2020-03-10T13:50:00Z,281.66,282.51,281.25,282.33,252190,778608.05,NaN,NaN,NaN,NaN
2020-03-10T13:55:00Z,282.38,283.36,282.26,282.63,237472,761312.75,NaN,NaN,NaN,NaN
2020-03-10T14:00:00Z,282.62,283.55,282.02,283.26,288243,742358.4,NaN,NaN,NaN,NaN
2020-03-10T14:05:00Z,283.28,284.21,282.83,284.06,200634,729272.15,NaN,NaN,NaN,NaN
2020-03-10T14:10:00Z,284.02,284.79,283.97,284.38,201569,705673.35,NaN,NaN,NaN,NaN
2020-03-10T14:15:00Z,284.37,284.6,283.48,283.81,223816,686350.6,NaN,NaN,NaN,NaN
2020-03-10T14:20:00Z,283.8,284.65,283.27,283.39,298830,680872.5,NaN,NaN,NaN,NaN
2020-03-10T14:25:00Z,283.39,283.4,282.25,282.33,180821,662774.5,NaN,NaN,NaN,NaN
2020-03-10T14:30:00Z,282.35,282.4,281.38,281.84,277919,650510.05,NaN,NaN,NaN,NaN
2020-03-10T14:35:00Z,281.83,282.14,281.23,281.57,217930,623593.4,NaN,NaN,NaN,NaN
2020-03-10T14:40:00Z,281.57,281.74,280.66,280.95,313487,606484.05,NaN,NaN,NaN,NaN
2020-03-10T14:45:00Z,280.9,281.2,279.65,279.77,316734,579392.2,NaN,NaN,NaN,NaN
2020-03-10T14:50:00Z,279.73,280.04,278.7,278.77,386287,552093.4,NaN,NaN,NaN,NaN
2020-03-10T14:55:00Z,278.76,279.88,278.57,278.61,328323,492601.2,NaN,NaN,NaN,NaN
2020-03-10T15:00:00Z,278.58,279.43,278.225,278.98,197286,410769.35,NaN,NaN,NaN,NaN
2020-03-10T15:05:00Z,278.94,280.31,278.75,280.08,263960,307706.45,NaN,NaN,NaN,NaN
2020-03-10T15:10:00Z,280.02,280.17,278.16,278.16,280757,291209.95,NaN,NaN,NaN,NaN
2020-03-10T15:15:00Z,278.18,278.77,277.31,277.5,297442,272246.7,NaN,NaN,NaN,NaN
2020-03-10T15:20:00Z,277.49,277.67,275.83,275.88,382277,273571.75,NaN,NaN,NaN,NaN
2020-03-10T15:25:00Z,275.895,276.66,274.84,274.89,694048,292001.25,NaN,NaN,NaN,NaN
2020-03-10T15:30:00Z,274.92,275.45,274.27,274.58,563588,307571.15,NaN,NaN,NaN,NaN
2020-03-10T15:35:00Z,274.57,274.93,273.5,274.76,429342,317164.65,NaN,NaN,NaN,NaN
2020-03-10T15:40:00Z,274.78,276.5,274.06,276.39,455738,325539.4,NaN,NaN,NaN,NaN
2020-03-10T15:45:00Z,276.38,277.59,276.05,276.97,483057,339660.55,NaN,NaN,NaN,NaN
